timestamp,count
2025-07-01T04:13:50.488549+00:00,520
2025-07-01T04:21:56.839573+00:00,520
2025-07-01T05:17:02.374194+00:00,564
2025-07-01T06:18:24.302613+00:00,564
2025-07-01T07:13:49.397359+00:00,564
2025-07-01T08:17:07.149027+00:00,564
2025-07-01T09:14:51.917852+00:00,564
2025-07-01T10:13:31.358266+00:00,564
2025-07-01T11:10:36.262187+00:00,564
2025-07-01T12:23:30.687807+00:00,578
2025-07-01T13:27:47.483001+00:00,578
2025-07-01T14:11:39.474034+00:00,578
2025-07-01T15:12:58.902958+00:00,667
2025-07-01T16:15:20.105740+00:00,775
2025-07-01T17:11:20.998165+00:00,775
2025-07-01T18:16:07.446259+00:00,858
2025-07-01T19:09:23.427558+00:00,858
2025-07-01T20:13:11.020852+00:00,858
2025-07-01T20:38:16.936003+00:00,939
2025-07-01T21:32:58.484820+00:00,939
2025-07-01T22:38:41.993899+00:00,1030
2025-07-01T23:32:48.183042+00:00,1030
2025-07-02T02:22:54.133446+00:00,1231
2025-07-02T04:00:30.605113+00:00,1231
2025-07-02T04:46:03.854912+00:00,1250
2025-07-02T05:41:35.247518+00:00,1250
2025-07-02T06:47:14.841115+00:00,1250
2025-07-02T07:33:33.722683+00:00,1250
2025-07-02T13:16:34.373040+00:00,1253
2025-07-02T13:45:31.778214+00:00,1253
2025-07-02T14:40:20.817705+00:00,1254
2025-07-02T15:38:19.725019+00:00,1254
2025-07-02T16:44:51.670827+00:00,1254
2025-07-02T17:37:14.026797+00:00,1254
2025-07-02T18:45:32.237675+00:00,1255
2025-07-02T19:29:15.620874+00:00,1255
2025-07-02T20:34:48.957735+00:00,1255
2025-07-02T21:32:52.493476+00:00,1255
2025-07-02T22:37:48.266533+00:00,1256
2025-07-02T23:33:50.574185+00:00,1256
2025-07-03T02:23:50.892244+00:00,1546
2025-07-03T04:02:40.830628+00:00,1546
2025-07-03T04:48:55.559936+00:00,1546
2025-07-03T05:42:14.278428+00:00,1546
2025-07-03T06:47:38.057468+00:00,1546
2025-07-03T07:33:31.488269+00:00,1546
2025-07-03T08:43:41.647645+00:00,1546
2025-07-03T09:39:22.118117+00:00,1546
2025-07-03T10:42:21.987596+00:00,1546
2025-07-03T11:31:31.117466+00:00,1546
